year,quarter,entity_type,entity_name,rank,type,count,amount,state
2022,4,pincode,500072,2,TOTAL,2486,3151661.0,
2022,4,pincode,560043,3,TOTAL,2468,3499600.0,
2022,4,pincode,560037,4,TOTAL,2424,3146560.0,
2022,4,pincode,560076,5,TOTAL,2391,3129589.0,
2022,4,pincode,560078,6,TOTAL,2388,3105356.0,
2022,4,pincode,201301,7,TOTAL,2193,2399892.0,
2022,4,pincode,421302,8,TOTAL,2085,2245940.0,
2022,4,pincode,122001,9,TOTAL,2037,2580157.0,
2022,4,pincode,560058,10,TOTAL,1998,2274976.0,
2023,1,state,Karnataka,1,TOTAL,127376,186543426.0,
2023,1,state,Maharashtra,2,TOTAL,112174,166596248.0,
2023,1,state,Tamil Nadu,3,TOTAL,90690,116710222.0,
2023,1,state,Uttar Pradesh,4,TOTAL,73080,127110494.0,
2023,1,state,Kerala,5,TOTAL,62377,101786828.0,
2023,1,state,West Bengal,6,TOTAL,56833,77461732.0,
2023,1,state,Telangana,7,TOTAL,54508,82678207.0,
2023,1,state,Delhi,8,TOTAL,45821,61040038.0,
2023,1,state,Haryana,9,TOTAL,37287,61127194.0,
2023,1,state,Andhra Pradesh,10,TOTAL,34920,51963355.0,
2023,1,district,Bengaluru Urban,1,TOTAL,75238,103829030.0,
2023,1,district,Pune,2,TOTAL,24852,37388150.0,
2023,1,district,Chennai,3,TOTAL,20140,20511279.0,
2023,1,district,Thane,4,TOTAL,18419,23430698.0,
2023,1,district,Mumbai Suburban,5,TOTAL,14976,17928673.0,
2023,1,district,Rangareddy,6,TOTAL,13622,21152107.0,
2023,1,district,Thiruvallur,7,TOTAL,11786,13822733.0,
2023,1,district,Medchal Malkajgiri,8,TOTAL,11454,16935012.0,
2023,1,district,North Twenty Four Parganas,9,TOTAL,11211,15232572.0,
2023,1,district,Ernakulam,10,TOTAL,11073,17476806.0,
2023,1,pincode,560068,1,TOTAL,3214,4091377.0,
2023,1,pincode,560043,2,TOTAL,2365,3356228.0,
